url_gcp,image_id,sequence_id,location_id,frame_num,common_name,datetime,class_number,subset
https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD01/MAD01_R4/MAD_S1_MAD01_R4_IMAG1207.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/MAD01/MAD01_R4/MAD_S1_MAD01_R4_IMAG1207.JPG,Snapshot Safari 2024 Expansion : MAD_S1#MAD01#4#403,Snapshot Safari 2024 Expansion : MAD_S1_MAD01,0,white rhinoceros,,8,train
https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R4/MAD_S1_MAD03_R4_IMAG0060.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/MAD03/MAD03_R4/MAD_S1_MAD03_R4_IMAG0060.JPG,Snapshot Safari 2024 Expansion : MAD_S1#MAD03#4#21,Snapshot Safari 2024 Expansion : MAD_S1_MAD03,1,white rhinoceros,,8,train
https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG5529.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG5529.JPG,Snapshot Safari 2024 Expansion : MAD_S1#MAD03#3#1842,Snapshot Safari 2024 Expansion : MAD_S1_MAD03,2,white rhinoceros,,8,train
https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD04/MAD04_R10/MAD_S3_MAD04_R10_IMAG0929.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S3/MAD04/MAD04_R10/MAD_S3_MAD04_R10_IMAG0929.JPG,Snapshot Safari 2024 Expansion : MAD_S3#MAD04#10#310,Snapshot Safari 2024 Expansion : MAD_S3_MAD04,1,white rhinoceros,,8,train
https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S2/MAD05/MAD05_R6/MAD_S2_MAD05_R6_IMAG0534.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S2/MAD05/MAD05_R6/MAD_S2_MAD05_R6_IMAG0534.JPG,Snapshot Safari 2024 Expansion : MAD_S2#MAD05#6#178,Snapshot Safari 2024 Expansion : MAD_S2_MAD05,2,white rhinoceros,,8,test
https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD01/MAD01_R4/MAD_S1_MAD01_R4_IMAG0613.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/MAD01/MAD01_R4/MAD_S1_MAD01_R4_IMAG0613.JPG,Snapshot Safari 2024 Expansion : MAD_S1#MAD01#4#205,Snapshot Safari 2024 Expansion : MAD_S1_MAD01,0,white rhinoceros,,8,train
https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R4/MAD_S1_MAD03_R4_IMAG1880.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/MAD03/MAD03_R4/MAD_S1_MAD03_R4_IMAG1880.JPG,Snapshot Safari 2024 Expansion : MAD_S1#MAD03#4#628,Snapshot Safari 2024 Expansion : MAD_S1_MAD03,0,white rhinoceros,,8,train
https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S2/MAD01/MAD01_R7/MAD_S2_MAD01_R7_IMAG0380.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S2/MAD01/MAD01_R7/MAD_S2_MAD01_R7_IMAG0380.JPG,Snapshot Safari 2024 Expansion : MAD_S2#MAD01#7#127,Snapshot Safari 2024 Expansion : MAD_S2_MAD01,1,white rhinoceros,,8,train
https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/A04/A04_R2/MAD_S1_A04_R2_IMAG0156.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/A04/A04_R2/MAD_S1_A04_R2_IMAG0156.JPG,Snapshot Safari 2024 Expansion : MAD_S1#A04#2#70,Snapshot Safari 2024 Expansion : MAD_S1_A04,0,white rhinoceros,,8,train
https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG2126.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG2126.JPG,Snapshot Safari 2024 Expansion : MAD_S1#MAD03#3#709,Snapshot Safari 2024 Expansion : MAD_S1_MAD03,1,white rhinoceros,,8,train
