url_gcp,image_id,sequence_id,location_id,frame_num,common_name,datetime,class_number,subset
https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0476/0837.jpg,WCS Camera Traps : 7585dcbe-92d5-11e9-b776-000d3a74c7de,WCS Camera Traps : lao-001-d0002-6,WCS Camera Traps : 3440,1,asian black bear,03-28-2003 17:10:00,3,train
https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0476/1159.jpg,WCS Camera Traps : 7594f80c-92d5-11e9-b6ca-000d3a74c7de,WCS Camera Traps : lao-001-d0048-2,WCS Camera Traps : 3465,1,asian black bear,04-12-2003 08:23:00,3,train
https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0477/0104.jpg,WCS Camera Traps : 75c13836-92d5-11e9-b7ed-000d3a74c7de,WCS Camera Traps : lao-001-d0258-9,WCS Camera Traps : 3571,1,asian black bear,11-12-2004 18:38:00,3,train
https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0477/0342.jpg,WCS Camera Traps : 75cc5be4-92d5-11e9-9b6d-000d3a74c7de,WCS Camera Traps : lao-001-d0291-2,WCS Camera Traps : 3589,2,asian black bear,11-16-2004 00:50:00,3,test
https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0477/0357.jpg,WCS Camera Traps : 75cd1f2d-92d5-11e9-ad4d-000d3a74c7de,WCS Camera Traps : lao-001-d0292-9,WCS Camera Traps : 3589,1,asian black bear,11-16-2004 00:50:00,3,test
https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0477/0826.jpg,WCS Camera Traps : 75e2a448-92d5-11e9-87de-000d3a74c7de,WCS Camera Traps : lao-004-d0010-10,WCS Camera Traps : 3763,1,asian black bear,04-04-2011 23:25:00,3,train
https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0478/0404.jpg,WCS Camera Traps : 762b6b90-92d5-11e9-96cd-000d3a74c7de,WCS Camera Traps : lao-004-d0005-42,WCS Camera Traps : 3778,1,asian black bear,04-04-2011 05:18:00,3,train
https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0478/0465.jpg,WCS Camera Traps : 762e5200-92d5-11e9-b442-000d3a74c7de,WCS Camera Traps : lao-004-d0006-39,WCS Camera Traps : 3778,1,asian black bear,04-04-2011 05:20:00,3,train
https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0478/0796.jpg,WCS Camera Traps : 763e0948-92d5-11e9-93d8-000d3a74c7de,WCS Camera Traps : lao-004-d0031-9,WCS Camera Traps : 3782,1,asian black bear,06-19-2011 00:13:00,3,train
https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0480/0154.jpg,WCS Camera Traps : 76dabe4b-92d5-11e9-9749-000d3a74c7de,WCS Camera Traps : lao-005-d0217-5,WCS Camera Traps : 3868,2,asian black bear,04-26-2012 19:10:00,3,train
https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0067/2017/09/image_00012.jpg,SWG Camera Traps : c89a6f8d-8c29-11eb-88e1-000d3a74c7de,SWG Camera Traps : f57be615-8c29-11eb-aedd-000d3a74c7de,SWG Camera Traps : loc_0067,0,asian black bear,09-11-2017 14:39:47,3,train
https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0067/2017/10/image_00013.jpg,SWG Camera Traps : c89a6f8e-8c29-11eb-a805-000d3a74c7de,SWG Camera Traps : f57be639-8c29-11eb-94dd-000d3a74c7de,SWG Camera Traps : loc_0067,0,asian black bear,10-15-2017 16:51:05,3,train
