url_gcp,image_id,sequence_id,location_id,frame_num,common_name,datetime,class_number,subset
https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/150716084924033c9191.JPG,Wellington Camera Traps : 150716084924033c9191,Wellington Camera Traps : 39173,Wellington Camera Traps : 033c,1,bird,07-15-2016 08:49:00,10,train
https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/120216181628003a9702.JPG,Wellington Camera Traps : 120216181628003a9702,Wellington Camera Traps : 55988,Wellington Camera Traps : 003a,0,bird,02-12-2016 18:16:00,10,train
https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/140816080952040a7262.JPG,Wellington Camera Traps : 140816080952040a7262,Wellington Camera Traps : 52553,Wellington Camera Traps : 040a,1,bird,08-14-2016 08:09:00,10,train
https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/191215125356018cs073.JPG,Wellington Camera Traps : 191215125356018cs073,Wellington Camera Traps : 13899,Wellington Camera Traps : 018c,0,bird,12-19-2015 12:53:00,10,train
https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/0306151128320424S231.JPG,Wellington Camera Traps : 0306151128320424S231,Wellington Camera Traps : 71017,Wellington Camera Traps : 424,0,bird,06-03-2015 11:28:00,10,train
https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/130116093648017c1131.JPG,Wellington Camera Traps : 130116093648017c1131,Wellington Camera Traps : 23759,Wellington Camera Traps : 017c,0,bird,01-13-2016 09:36:00,10,val
https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/151016090904003a7262.JPG,Wellington Camera Traps : 151016090904003a7262,Wellington Camera Traps : 19247,Wellington Camera Traps : 003a,1,bird,10-15-2016 09:09:00,10,train
https://storage.googleapis.com/public-datasets-lila/orinoquia-camera-traps/public/M00/102EK113/05030273.JPG,Orinoquia Camera Traps : M00_102EK113_05030273.JPG,Orinoquia Camera Traps : 39a160b2-7160-11ec-9fb3-5cf3706028c2,Orinoquia Camera Traps : M00,2,bird,05-03-2020 16:43:58,10,train
https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/040716121522030b3101.JPG,Wellington Camera Traps : 040716121522030b3101,Wellington Camera Traps : 15465,Wellington Camera Traps : 030b,2,bird,07-04-2016 12:15:00,10,train
https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/140816170444011a5901.JPG,Wellington Camera Traps : 140816170444011a5901,Wellington Camera Traps : 2468,Wellington Camera Traps : 011a,0,bird,08-14-2016 17:04:00,10,train
https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/220816152938004c8233.JPG,Wellington Camera Traps : 220816152938004c8233,Wellington Camera Traps : 20962,Wellington Camera Traps : 004c,1,bird,08-22-2016 15:29:00,10,train
https://storage.googleapis.com/public-datasets-lila/snapshotserengeti-unzipped/S4/D03/D03_R2/S4_D03_R2_IMAG0016.JPG,Snapshot Serengeti : S4/D03/D03_R2/S4_D03_R2_IMAG0016,Snapshot Serengeti : SER_S4#D03#2#6,Snapshot Serengeti : D03,3,bird,03-05-2012 18:22:38,10,val
