dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
Snapshot Serengeti,https://storage.googleapis.com/public-datasets-lila/snapshotserengeti-unzipped/S6/E09/E09_R2/S6_E09_R2_IMAG0314.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshotserengeti-unzipped/S6/E09/E09_R2/S6_E09_R2_IMAG0314.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshotserengeti-unzipped/S6/E09/E09_R2/S6_E09_R2_IMAG0314.JPG,Snapshot Serengeti : S6/E09/E09_R2/S6_E09_R2_IMAG0314,Snapshot Serengeti : SER_S6#E09#2#107,Snapshot Serengeti : E09,2,otherbird,aves,bird,03-09-2013 15:21:57,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/596bd78d-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/596bd78d-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/596bd78d-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 596bd78d-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 7010eed9-5567-11e8-b71e-dca9047ef277,Caltech Camera Traps : 56,3,bird,aves,bird,08-03-2013 11:06:37,image,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Wellington Camera Traps,https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/221016065056027bs241.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wellington-unzipped/images/221016065056027bs241.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/wellington-unzipped/images/221016065056027bs241.JPG,Wellington Camera Traps : 221016065056027bs241,Wellington Camera Traps : 15257,Wellington Camera Traps : 027b,0,bird,aves,bird,10-22-2016 06:50:00,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Wellington Camera Traps,https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/231016080948006b1023.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wellington-unzipped/images/231016080948006b1023.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/wellington-unzipped/images/231016080948006b1023.JPG,Wellington Camera Traps : 231016080948006b1023,Wellington Camera Traps : 11227,Wellington Camera Traps : 006b,2,bird,aves,bird,10-23-2016 08:09:00,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Wellington Camera Traps,https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/090116061608013c3423.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wellington-unzipped/images/090116061608013c3423.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/wellington-unzipped/images/090116061608013c3423.JPG,Wellington Camera Traps : 090116061608013c3423,Wellington Camera Traps : 57939,Wellington Camera Traps : 013c,2,bird,aves,bird,01-09-2016 06:16:00,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Wellington Camera Traps,https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/130816112146035a3391.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wellington-unzipped/images/130816112146035a3391.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/wellington-unzipped/images/130816112146035a3391.JPG,Wellington Camera Traps : 130816112146035a3391,Wellington Camera Traps : 39563,Wellington Camera Traps : 035a,1,bird,aves,bird,08-13-2016 11:21:00,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Orinoquia Camera Traps,https://storage.googleapis.com/public-datasets-lila/orinoquia-camera-traps/public/N12/101EK113/05300696.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/orinoquia-camera-traps/public/N12/101EK113/05300696.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/orinoquia-camera-traps/public/N12/101EK113/05300696.JPG,Orinoquia Camera Traps : N12_101EK113_05300696.JPG,Orinoquia Camera Traps : 39cdf9f3-7160-11ec-8126-5cf3706028c2,Orinoquia Camera Traps : N12,2,unknown_bird,aves,bird,05-30-2020 09:45:51,image,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/59279cf8-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/59279cf8-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/59279cf8-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 59279cf8-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 70163014-5567-11e8-8f66-dca9047ef277,Caltech Camera Traps : 94,3,bird,aves,bird,10-11-2013 10:45:36,image,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Missouri Camera Traps,https://storage.googleapis.com/public-datasets-lila/missouricameratraps/images/Set1/1.22-Bird_spec/SEQ84627/SEQ84627_IMG_0009.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/missouricameratraps/images/Set1/1.22-Bird_spec/SEQ84627/SEQ84627_IMG_0009.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/missouricameratraps/images/Set1/1.22-Bird_spec/SEQ84627/SEQ84627_IMG_0009.JPG,Missouri Camera Traps : 9901f716-5c15-11ee-8d73-04421a1b1283,Missouri Camera Traps : SEQ84627,Missouri Camera Traps : missouri_camera_traps,71,bird_spec,aves,bird,,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0483/2020/04/image_00036.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0483/2020/04/image_00036.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0483/2020/04/image_00036.jpg,SWG Camera Traps : cbc9d8ee-8c29-11eb-bc5a-000d3a74c7de,SWG Camera Traps : e1547b25-8c29-11eb-81ac-000d3a74c7de,SWG Camera Traps : loc_0483,0,unidentified_bird,aves,bird,04-04-2020 06:01:07,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Wellington Camera Traps,https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/121116085916023a9232.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wellington-unzipped/images/121116085916023a9232.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/wellington-unzipped/images/121116085916023a9232.JPG,Wellington Camera Traps : 121116085916023a9232,Wellington Camera Traps : 14731,Wellington Camera Traps : 023a,1,bird,aves,bird,11-12-2016 08:59:00,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0154/0909.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0154/0909.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0154/0909.jpg,WCS Camera Traps : ff08d76e-92d4-11e9-bb26-000d3a74c7de,WCS Camera Traps : bol-015-d0072-56,WCS Camera Traps : 857,4,unknown bird,aves,bird,10-25-2011 06:33:45,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
